Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
6755,Marc Bola,67,LB,CB,26,England,Trendyol Süper Lig,Samsunspor
6756,Marcos Bolados,67,RW,"LW, ST, RM",28,Chile,Libertadores,Colo-Colo
6757,Bendegúz Bolla,67,RB,"RM, LM",24,Hungary,Ö. Bundesliga,SK Rapid
6758,Moïse Bombito,67,CB,LB,24,Canada,Ligue 1 McDonald's,OGC Nice
6759,Nicholas Bonfanti,67,ST,,22,Italy,Serie BKT,Pisa
6760,Leonel Bontempo,67,LB,,31,Argentina,Sudamericana,Wanderers
6761,Gui Guedes,67,CM,,22,Portugal,LALIGA HYPERMOTION,UD Almería
6762,Benjamin Bouchouari,67,CM,,22,Morocco,Ligue 1 McDonald's,AS Saint-Étienne
6763,Khalid Boutaïb,67,ST,,37,Morocco,Ligue 2 BKT,Pau FC
6764,Amine Boutrah,67,LM,LW,23,France,Ligue 2 BKT,SC Bastia
6765,Robbie Brady,67,LB,RB,32,Republic of Ireland,EFL Championship,Preston
6766,Per Kristian Bråtveit,67,GK,,28,Norway,Eliteserien,Strømsgodset IF
6767,Pedro Brazão,67,RM,"CAM, RW",21,Portugal,Trendyol Süper Lig,Bodrum FK
6768,Michael Breij,67,RW,"CAM, CM, RM",27,Holland,SUPERLIGA,Sepsi OSK
6769,Rhian Brewster,67,ST,,24,England,EFL Championship,Sheffield Utd
6770,Nicolò Brighenti,67,CB,RB,35,Italy,Serie BKT,Catanzaro
6771,Jake Brimmer,67,CAM,"CDM, CM",26,Australia,A-League,Auckland FC
6772,Brandt Bronico,67,CM,CDM,29,United States,MLS,Charlotte FC
6773,Luuk Brouwers,67,CAM,"CM, CDM",26,Holland,Eredivisie,sc Heerenveen
6774,Ciaron Brown,67,CB,LB,26,Northern Ireland,EFL Championship,Oxford United
6775,Buatu,67,CB,,30,Angola,Liga Portugal,Gil Vicente
6776,Constantin Budescu,67,LW,"CAM, LM",35,Romania,SUPERLIGA,FC Gloria Buzău
6777,Gonzalo Bueno,67,LW,"LM, ST",31,Uruguay,Sudamericana,Danubio
6778,Oliver Bundgaard,67,LB,,23,Denmark,3F Superliga,Viborg FF
6779,Filip Bundgaard,67,ST,,20,Denmark,3F Superliga,Brøndby IF
6780,Sascha Burchert,67,GK,,34,Germany,Bundesliga,FC St. Pauli
6781,Guillermo Burdisso,67,CB,,35,Argentina,Primera División,Huracán
6782,Valentín Burgoa,67,CAM,"LM, RM",24,Argentina,Primera División,Sarmiento
6783,Esteban Burgos,67,CB,,32,Argentina,Primera División,Ind. Rivadavia
6784,Graham Burke,67,LW,"RW, ST, LM",30,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
6785,Oliver Burke,67,RM,"ST, RW",27,Scotland,Bundesliga,SV Werder Bremen
6786,Oriol Busquets,67,CDM,"CM, CB",25,Spain,Liga Portugal,Arouca
6787,Butzke,67,ST,,25,Spain,Liga Portugal,Nacional
6788,Zico Buurmeester,67,CM,CDM,22,Holland,Eredivisie,AZ
6789,Cătălin Căbuz,67,GK,,28,Romania,SUPERLIGA,FC Hermannstadt
6790,Elvin Cafarquliyev,67,LB,,23,Azerbaijan,Liga Azerbaijan,Qarabağ FK
6791,Ousmane Camara,67,CB,,21,France,Ligue 1 McDonald's,Angers SCO
6792,Ibrahima Camará,67,CDM,CM,25,Guinea,Liga Portugal,Boavista FC
6793,Alfred Canales,67,CM,CDM,24,Chile,Sudamericana,Uni. Católica
6794,Jhonatan Candia,67,ST,RW,29,Uruguay,Primera División,Barracas Central
6795,Mihai Căpățînă,67,RB,CM,28,Romania,SUPERLIGA,Univ. Craiova
6796,Alessandro Capello,67,ST,LW,28,Italy,Serie BKT,Carrarese Calcio
6797,Nicolas Capraro,67,CB,,26,Argentina,Primera División,Barracas Central
6798,Wagner Pina,67,RM,"RB, RW",21,Cape Verde Islands,Liga Portugal,Estoril Praia
6799,André Sousa,67,CM,,34,Portugal,Liga Portugal,Nacional
6800,Julio Cascante,67,CB,,30,Costa Rica,MLS,Austin FC
6801,Dan Casey,67,CB,,26,Republic of Ireland,Scottish Prem,Motherwell
6802,Enzo Castillo,67,LB,,23,Uruguay,Sudamericana,Cerro Largo
6803,Jesus Castillo,67,CDM,CM,28,Peru,Libertadores,Alianza Lima
6804,Jesús Castillo,67,CDM,CM,23,Peru,Liga Portugal,Gil Vicente
6805,David Castro,67,CB,,28,Spain,LALIGA HYPERMOTION,Racing de Ferrol
6806,Yoann Cathline,67,LM,"ST, LW",22,France,Eredivisie,FC Utrecht
6807,Cristian Cauz,67,CB,LB,28,Italy,Serie BKT,Modena
6808,Tomás Cavanagh,67,LB,,23,Argentina,Primera División,Vélez Sarsfield
6809,Cayarga,67,LM,"RM, CAM, LW",27,Spain,LALIGA HYPERMOTION,RC Deportivo
6810,José Luis Cazares,67,CDM,CM,33,Ecuador,Sudamericana,Técnico U.
6811,Joseph Ceesay,67,RM,"RB, RW",26,Sweden,Serie BKT,Cesena
6812,Alberto Cerri,67,ST,,28,Italy,Serie A Enilive,Como
6813,Edwin Cerrillo,67,CDM,CM,23,United States,MLS,LA Galaxy
6814,Boris Cespedes,67,CDM,CM,29,Bolivia,CSSL,Yverdon Sport FC
6815,Daniel Chacón,67,CB,CDM,23,Costa Rica,MLS,Colorado Rapids
6816,Moutir Chajia,67,LM,"CAM, LW",26,Belgium,Serie A Enilive,Como
6817,Shea Charles,67,CDM,"CM, CB",20,Northern Ireland,EFL Championship,Sheffield Wed
6818,Yevgen Cheberko,67,CB,,26,Ukraine,MLS,Columbus Crew
6819,Samir Chergui,67,CB,CDM,25,France,Ligue 2 BKT,Paris FC
6820,Lallianzuala Chhangte,67,RW,"LM, LW, RM",27,India,ISL,Mumbai City FC
6821,Riccardo Chiarello,67,CAM,RW,30,Italy,Serie BKT,Cesena
6822,Daniel Chima Chukwu,67,ST,"LW, RW",33,Nigeria,ISL,Chennaiyin FC
6823,Alexandru Chipciu,67,LM,"LB, RB, LW",35,Romania,SUPERLIGA,FC Univ. Cluj
6824,Jeyson Chura,67,RM,"LM, RW",22,Bolivia,Libertadores,The Strongest
6825,Jonathan Cissé,67,CB,,27,Côte d'Ivoire,SUPERLIGA,SC Oțelul Galați
6826,Clemente,67,CB,LB,25,Spain,LALIGA HYPERMOTION,Real Zaragoza
6827,Denilho Cleonise,67,RM,"LM, RW",22,Holland,Eredivisie,RKC Waalwijk
6828,Zach Clough,67,LM,"RM, CAM, LW",29,England,A-League,Adelaide United
6829,Josh Cohen,67,GK,,32,United States,MLS,Atlanta United
6830,James Collins,67,ST,,33,Republic of Ireland,EFL Championship,Derby County
6831,Archie Collins,67,CDM,CM,25,England,EFL League One,Peterborough
6832,Rubin Colwill,67,CAM,"RM, LM",22,Wales,EFL Championship,Cardiff City
6833,Luca Connell,67,CDM,CM,23,Republic of Ireland,EFL League One,Barnsley
6834,Jomaine Consbruch,67,CAM,"CM, RM",22,Germany,Bundesliga 2,Fürth
6835,Christian Conteh,67,RW,"ST, LW, RM",25,Germany,Bundesliga 2,Braunschweig
6836,Sirlord Conteh,67,ST,RM,28,Germany,Bundesliga,Heidenheim
6837,Nicolás Contin,67,ST,,28,Argentina,Primera División,Tigre
6838,Nikita Contini,67,GK,,28,Ukraine,Serie A Enilive,SSC Napoli
6839,Alberto Contrera,67,CAM,"RM, ST",32,Paraguay,Sudamericana,S. Ameliano
6840,Mauro Coppolaro,67,CB,RB,27,Italy,Serie BKT,Carrarese Calcio
6841,Gabriele Corbo,67,CB,,24,Italy,MLS,CF Montréal
6842,Marius Corbu,67,CAM,CDM,22,Romania,Liga Cyprus,APOEL FC
6843,Harry Cornick,67,ST,"RM, RW",29,England,EFL Championship,Bristol City
6844,Niccolò Corrado,67,LM,"LB, LW",24,Italy,Serie BKT,Brescia
6845,Lincoln,67,ST,"RW, LW",23,Brazil,Ö. Bundesliga,SCR Altach
6846,Patrick Andrade,67,CDM,CAM,31,Cape Verde Islands,Liga Azerbaijan,Qarabağ FK
6847,Luciano Cosentino,67,RW,RM,23,Uruguay,Sudamericana,Cerro Largo
6848,Marcel Costly,67,RB,RM,28,Germany,3. Liga,FC Ingolstadt 04
6849,Guillermo Cotugno,67,CB,RB,29,Uruguay,Sudamericana,Racing Club
6850,Ismaila Coulibaly,67,CM,CDM,23,Mali,EFL Championship,Sheffield Utd
6851,Hayden Coulson,67,LB,,26,England,EFL League One,Blackpool
6852,Benjamin Cremaschi,67,CM,"CAM, RM",19,United States,MLS,Inter Miami CF
6853,Alexandru Crețu,67,CDM,CM,32,Romania,ROSHN Saudi League,Al Wehda
6854,Iulian Cristea,67,CB,,30,Romania,SUPERLIGA,FC Univ. Cluj
6855,Domen Črnigoj,67,CM,,28,Slovenia,Serie A Enilive,Venezia
6856,Daniel Crowley,67,CAM,CM,27,England,EFL League Two,Notts County
6857,Iván Cuéllar,67,GK,,40,Spain,LALIGA EA SPORTS,RCD Mallorca
6858,Jamie Cumming,67,GK,,25,England,EFL Championship,Oxford United
6859,Christopher Cvetko,67,CM,CDM,27,Austria,Ö. Bundesliga,Austria Klagenfurt
6860,Luca D'Andrea,67,RM,RW,20,Italy,Serie BKT,Sassuolo
6861,João Gamboa,67,CDM,CM,28,Portugal,PKO BP Ekstraklasa,Pogoń Szczecin
6862,Alessio Da Cruz,67,ST,CAM,27,Cape Verde Islands,Eredivisie,Fortuna Sittard
6863,Felipe Augusto,67,ST,"LM, CAM",20,Brazil,1A Pro League,Cercle Brugge
6864,Show,67,CDM,CM,25,Angola,MLS,FC Dallas
6865,Pedro Trigueira,67,GK,,36,Portugal,Liga Portugal,AVS Futebol SAD
6866,Cristian Dájome,67,LM,"ST, LW",30,Colombia,MLS,D.C. United
6867,Wessel Dammers,67,CB,,29,Holland,3F Superliga,Randers FC
6868,Fabio Daprelà,67,CB,,33,Switzerland,CSSL,FC Zürich
6869,Tendayi Darikwa,67,RB,LB,32,Zimbabwe,EFL League One,Lincoln City
6870,Simone Davi,67,LB,LM,24,Italy,Serie BKT,Südtirol
6871,Isaak Davies,67,ST,,22,Wales,EFL Championship,Cardiff City
6872,Brian De Keersmaecker,67,CDM,CM,24,Belgium,Eredivisie,Heracles Almelo
6873,Fabian de Keijzer,67,GK,,24,Holland,Eredivisie,Heracles Almelo
6874,Luis de la Cruz,67,CDM,"CM, RB",33,Paraguay,Sudamericana,S. Trinidense
6875,Erik De Los Santos,67,RM,"RB, CM, RW",25,Uruguay,Sudamericana,Racing Club
6876,Sebastian De Maio,67,CB,,37,France,Serie BKT,Mantova
6877,Dion De Neve,67,LM,"LB, RM, LW",23,Belgium,1A Pro League,KV Kortrijk
6878,Nicolas De Préville,67,ST,,33,France,Ligue 2 BKT,ESTAC Troyes
6879,Gabriel Debeljuh,67,ST,,27,Croatia,SUPERLIGA,Sepsi OSK
6880,Yusuf Demir,67,RM,"CAM, RW",21,Austria,Trendyol Süper Lig,Galatasaray
6881,Deng Hanwen,67,RB,RM,29,China PR,CSL,Wuhan Three Towns
6882,Will Dennis,67,GK,,24,England,Premier League,AFC Bournemouth
6883,Halil İbrahim Dervişoğlu,67,ST,CAM,24,Turkey,Trendyol Süper Lig,Galatasaray
6884,Enis Destan,67,ST,CAM,22,Turkey,Trendyol Süper Lig,Trabzonspor
6885,Fousseni Diabaté,67,RW,"LW, RM",28,Mali,CSSL,Lausanne-Sport
6886,Bambo Diaby,67,CB,,26,Senegal,LALIGA HYPERMOTION,Elche CF
6887,Abdoulaye Diaby,67,CB,,24,Mali,CSSL,FC St. Gallen
6888,Lamine Diack,67,CDM,CM,23,Senegal,Trendyol Süper Lig,Hatayspor
6889,Djibril Diani,67,CDM,CM,26,France,MLS,Charlotte FC
6890,Mahamadou Diawara,67,CM,,19,France,Ligue 1 McDonald's,OL
6891,Ismael Diawara,67,GK,,29,Mali,Allsvenskan,AIK
6892,Matisse Didden,67,CB,,22,Belgium,Eredivisie,FC Utrecht
6893,Thomas Didillon-Hödl,67,GK,,28,France,Eredivisie,Willem II
6894,Guillaume Dietsch,67,GK,,23,France,1A Pro League,FCV Dender EH
6895,Ouparine Djoco,67,GK,,26,Guinea-Bissau,Ligue 2 BKT,Clermont Foot 63
6896,Dejan Djokic,67,ST,"LM, RM",23,Switzerland,CSSL,FC Sion
6897,Greg Docherty,67,CM,"CDM, RM",28,Scotland,EFL League One,Charlton Ath
6898,Maciej Domański,67,CAM,,34,Poland,PKO BP Ekstraklasa,Stal Mielec
6899,Mehdi Dorval,67,RB,RM,23,France,Serie BKT,Bari
6900,David Douline,67,CDM,CM,31,France,CSSL,Servette FC
6901,Oliver Dovin,67,GK,,22,Sweden,EFL Championship,Coventry City
6902,Stefan Dražić,67,ST,,32,Serbia,Liga Cyprus,APOEL FC
6903,Matthieu Dreyer,67,GK,,35,France,Ligue 1 McDonald's,Strasbourg
6904,Bryce Duke,67,CAM,CM,23,United States,MLS,CF Montréal
6905,Kyle Duncan,67,RB,"RM, LB",27,United States,MLS,Red Bulls
6906,Chey Dunkley,67,CB,,32,England,EFL League Two,Chesterfield
6907,Pierre Dwomoh,67,CM,,20,Belgium,EFL Championship,Watford
6908,Patryk Dziczek,67,CDM,,26,Poland,PKO BP Ekstraklasa,Piast Gliwice
6909,Santiago Echeverría,67,CB,RB,34,Argentina,Sudamericana,Wilstermann
6910,Joe Edwards,67,RB,RM,33,England,EFL Championship,Plymouth Argyle
6911,Amine El Ouazzani,67,ST,RM,23,Morocco,Liga Portugal,SC Braga
6912,Juergen Elitim,67,CM,"CDM, CAM",26,Colombia,PKO BP Ekstraklasa,Legia Warszawa
6913,Dimitrios Emmanouilidis,67,LM,"RM, LW",23,Greece,3F Superliga,Vejle Boldklub
6914,Mahir Emreli,67,ST,RW,27,Azerbaijan,Bundesliga 2,1. FC Nürnberg
6915,Doğan Erdoğan,67,CDM,CM,28,Turkey,Trendyol Süper Lig,Göztepe
6916,Onur Ergün,67,CDM,CM,31,Turkey,Trendyol Süper Lig,Başakşehir
6917,August Erlingmark,67,CDM,"CM, CB",26,Sweden,Allsvenskan,IFK Göteborg
6918,Pablo Erustes,67,ST,RM,30,Argentina,Sudamericana,Dep. Garcilaso
6919,Florian Escales,67,GK,,28,France,Ligue 2 BKT,FC Annecy
6920,Anderson Esiti,67,CDM,,30,Nigeria,Magyar Liga,Ferencvárosi TC
6921,Mustafa Eskihellaç,67,RM,"RB, LM, RW",27,Turkey,Trendyol Süper Lig,Gaziantep
6922,Dani Tasende,67,LB,LM,24,Spain,LALIGA HYPERMOTION,Real Zaragoza
6923,Derrick Etienne Jr.,67,LM,"RM, LW",27,Haiti,MLS,Toronto FC
6924,Lee Evans,67,CM,CDM,30,Wales,EFL League One,Blackpool
6925,Ched Evans,67,ST,,35,Wales,EFL Championship,Preston
6926,Noah Fadiga,67,RB,RM,24,Senegal,1A Pro League,KAA Gent
6927,Diego Falcinelli,67,ST,,33,Italy,Serie BKT,Spezia
6928,Akin Famewo,67,CB,LB,25,England,EFL Championship,Sheffield Wed
6929,Marco Farfan,67,LB,LM,25,United States,MLS,FC Dallas
6930,Gonçalo Costa,67,LB,LM,24,Portugal,Liga Portugal,Estoril Praia
6931,Jacob Farrell,67,LB,CB,21,Australia,EFL Championship,Portsmouth
6932,Mohamed Farsi,67,RM,"RB, RW",24,Canada,MLS,Columbus Crew
6933,Timothy Fayulu,67,GK,,25,Congo DR,CSSL,FC Sion
6934,Manuel Feil,67,RM,RW,29,Germany,Bundesliga 2,SV Elversberg
6935,Hugo Fernández,67,LM,"ST, LW",26,Paraguay,Sudamericana,Olimpia
6936,Guillermo,67,ST,,31,Spain,ISL,NorthEast United
6937,Matias Fernandez-Pardo,67,CAM,,19,Belgium,Ligue 1 McDonald's,LOSC Lille
6938,Gianluca Ferrari,67,CB,,27,Argentina,Primera División,Atlético Tucumán
6939,Rodi Ferreira,67,RB,RM,26,Paraguay,Sudamericana,Sportivo Luqueño
6940,Miguel Sousa,67,CAM,"CM, RM",25,Portugal,Liga Portugal,Casa Pia AC
6941,Rafael Nel,67,ST,"RW, CAM",19,Portugal,Liga Portugal,Sporting CP
6942,Salva Ferrer,67,RB,,26,Spain,Serie BKT,Spezia
6943,Marco Festa,67,GK,,32,Italy,Serie BKT,Mantova
6944,Kolbeinn Birgir Finnsson,67,LB,,25,Iceland,Eredivisie,FC Utrecht
6945,Vincenzo Fiorillo,67,GK,,34,Italy,Serie BKT,Salernitana
6946,Aden Flint,67,CB,,35,England,EFL League One,Mansfield Town
6947,Eduard Florescu,67,RM,"CM, RW",27,Romania,SUPERLIGA,FC Botoșani
6948,José Fontán,67,CB,LB,24,Spain,Liga Portugal,Arouca
6949,Alessandro Fontanarosa,67,CB,LB,21,Italy,Serie BKT,Reggiana
6950,Iver Fossum,67,CM,,28,Norway,1A Pro League,KV Kortrijk
6951,Abu Francis,67,CM,,23,Ghana,1A Pro League,Cercle Brugge
6952,Juan José Franco,67,RB,CM,32,Paraguay,Primera División,Instituto
6953,Matt Freese,67,GK,,26,United States,MLS,New York City FC
6954,Lukas Fridrikas,67,ST,,26,Austria,Ö. Bundesliga,SCR Altach
6955,Nils Fröling,67,LM,"RW, LW",24,Sweden,3. Liga,FC Hansa Rostock
6956,Aldair Fuentes,67,CDM,"CM, CB",26,Peru,Libertadores,Alianza Lima
6957,Michael Fuentes Vadulli,67,LM,LW,26,Chile,Libertadores,Palestino
6958,Joel Chima Fujita,67,CDM,CM,22,Japan,1A Pro League,STVV
6959,Anton Gaaei,67,RB,,21,Denmark,Eredivisie,Ajax
6960,Munashe Garananga,67,CB,,23,Zimbabwe,3F Superliga,F.C. København
6961,Mender García,67,ST,,25,Colombia,Sudamericana,Indep. Medellín
6962,Jon García,67,CB,,33,Spain,LALIGA HYPERMOTION,Albacete BP
6963,Anselmo García MacNulty,67,CB,LB,21,Republic of Ireland,Eredivisie,PEC Zwolle
6964,Víctor García,67,LB,LM,30,Spain,LALIGA HYPERMOTION,Málaga CF
6965,Luis Garro,67,RB,RM,28,Peru,Sudamericana,Sport Huancayo
6966,Yarek,67,CB,LB,19,Spain,LALIGA EA SPORTS,Valencia CF
6967,Christian Gebauer,67,RM,"RB, RW",30,Austria,Ö. Bundesliga,SCR Altach
6968,Andreas Geipl,67,CDM,CM,32,Germany,Bundesliga 2,Jahn Regensburg
6969,Fabio Gerli,67,CM,CDM,27,Italy,Serie BKT,Modena
6970,Krystian Getinger,67,LB,LM,36,Poland,PKO BP Ekstraklasa,Stal Mielec
6971,Virgil Ghiță,67,CB,,26,Romania,PKO BP Ekstraklasa,Cracovia
6972,Armin Gigović,67,CM,CDM,22,Bosnia and Herzegovina,Bundesliga,Holstein Kiel
6973,Dylan Glaby,67,CDM,CM,28,Argentina,Sudamericana,Coquimbo Unido
6974,Ettore Gliozzi,67,ST,,28,Italy,Serie BKT,Modena
6975,Caio Secco,67,GK,,33,Brazil,Liga Portugal,Moreirense FC
6976,Matt Godden,67,ST,,33,England,EFL League One,Charlton Ath
6977,Matías Godoy,67,LW,"RW, ST, LM",22,Argentina,Primera División,Central Córdoba
6978,Vítor Gomes,67,CM,CDM,36,Portugal,Liga Portugal,Rio Ave FC
6979,Marcos Gómez,67,CM,,22,Paraguay,Sudamericana,Olimpia
6980,Johan Arath Gómez,67,ST,CAM,23,United States,Bundesliga 2,Braunschweig
6981,Luciano Gómez,67,RB,"CM, RM",28,Argentina,Primera División,Ind. Rivadavia
6982,Donatien Gomis,67,CB,,29,Senegal,Ligue 2 BKT,En Avant Guingamp
6983,Julio González,67,RB,CB,32,Paraguay,Sudamericana,S. Ameliano
6984,Diego González,67,LW,"RW, LM",21,Paraguay,Serie A Enilive,Latium
6985,Yeison Gordillo,67,CDM,CM,32,Colombia,Primera División,Vélez Sarsfield
6986,Alexander Gorgon,67,CAM,"CM, CDM",35,Austria,PKO BP Ekstraklasa,Pogoń Szczecin
6987,Pablo Gozálbez,67,CAM,"LM, RM",23,Spain,Liga Portugal,Arouca
6988,Jaume Grau,67,CM,,27,Spain,Liga Portugal,AVS Futebol SAD
6989,Ján Greguš,67,CDM,CM,33,Slovakia,MLS,Houston Dynamo
6990,Leo Greiml,67,CB,,23,Austria,Eredivisie,NAC Breda
6991,Daniel Grimshaw,67,GK,,26,England,EFL Championship,Plymouth Argyle
6992,Joel Grodowski,67,ST,LM,26,Germany,Bundesliga 2,Preußen Münster
6993,Jeppe Grønning,67,CDM,CM,33,Denmark,3F Superliga,Viborg FF
6994,Gheorghe Grozav,67,LM,"ST, LW",33,Romania,SUPERLIGA,FC Petrolul
6995,Jan Grzesik,67,RB,RM,29,Poland,PKO BP Ekstraklasa,Radomiak Radom
6996,Juan Cruz Guasone,67,CB,,23,Argentina,Primera División,Sarmiento
6997,Lamine Gueye,67,RM,RW,26,Senegal,Ligue 2 BKT,Paris FC
6998,Pape Habib Gueye,67,ST,"LM, RM",24,Senegal,Scottish Prem,Aberdeen
6999,Lukas Gugganig,67,CB,,29,Austria,Ö. Bundesliga,SCR Altach
7000,Daouda Guindo,67,LB,,21,Mali,Ö. Bundesliga,RB Salzburg
7001,Marc Guiu,67,ST,,18,Spain,Premier League,Chelsea
7002,Tobias Gulliksen,67,LW,"RW, LM",21,Norway,Allsvenskan,Djurgårdens IF
7003,Ahmet Gürleyen,67,CB,,25,Germany,3. Liga,FC Hansa Rostock
7004,Brian Gutiérrez,67,LM,"CAM, RM, LW",21,United States,MLS,Chicago Fire FC
7005,Vladislavs Gutkovskis,67,ST,,29,Latvia,K League 1,Daejeon
7006,Andrew Gutman,67,LB,,27,United States,MLS,Chicago Fire FC
7007,Maxwell Gyamfi,67,CB,,24,Germany,3. Liga,VfL Osnabrück
7008,Bright Gyamfi,67,RB,,28,Ghana,Serie BKT,Cosenza
7009,Anis Hadj-Moussa,67,RW,"CAM, RM",22,Algeria,Eredivisie,Feyenoord
7010,Albian Hajdari,67,CB,,21,Switzerland,CSSL,FC Lugano
7011,Pierre-Yves Hamel,67,ST,,30,France,Ligue 2 BKT,Paris FC
7012,Vito Hammershøy-Mistrati,67,CAM,CM,32,Denmark,Allsvenskan,IFK Norrköping
7013,Mads Hansen,67,RW,"ST, RM",22,Denmark,3F Superliga,FC Nordsjælland
7014,Mattes Hansen,67,CDM,CB,20,Germany,Bundesliga 2,SC Paderborn 07
7015,Daniel Hanslik,67,ST,"LM, CAM",27,Germany,Bundesliga 2,Kaiserslautern
7016,Wes Harding,67,CB,RB,27,Jamaica,EFL Championship,Millwall
7017,Marcus Harness,67,LM,"CAM, LW",28,England,EFL Championship,Derby County
7018,Nathan Harriel,67,RB,CB,23,United States,MLS,Philadelphia
7019,Mark Harris,67,ST,,25,Wales,EFL Championship,Oxford United
7020,Ali Hazazi,67,CDM,CM,30,Saudi Arabia,ROSHN Saudi League,Al Qadisiyah
7021,Mads Hedenstad,67,GK,,23,Norway,Eliteserien,Lillestrøm SK
7022,Nicklas Helenius,67,ST,,33,Denmark,3F Superliga,AaB
7023,Patrik Hellebrand,67,CAM,CM,25,Czech Republic,PKO BP Ekstraklasa,Górnik Zabrze
7024,Ramon Hendriks,67,CB,LB,23,Holland,Bundesliga,VfB Stuttgart
7025,Jorge Henríquez,67,CM,CAM,30,Chile,Sudamericana,Coquimbo Unido
7026,Hjörtur Hermannsson,67,CB,RB,29,Iceland,Serie BKT,Carrarese Calcio
7027,Javi Hernández,67,CAM,"RW, LW",35,Spain,ISL,Jamshedpur FC
7028,Julian Hettwer,67,RM,"ST, RW",21,Germany,3. Liga,B. Dortmund II
7029,Jannis Heuer,67,CB,,25,Germany,Bundesliga 2,Kaiserslautern
7030,Lucas Hey,67,CB,,21,Denmark,3F Superliga,FC Nordsjælland
7031,Daan Heymans,67,CAM,CM,25,Belgium,1A Pro League,Sp. Charleroi
7032,Kyle Hiebert,67,CB,LB,27,Canada,MLS,St. Louis CITY SC
7033,Stefan Hierländer,67,CM,,33,Austria,Ö. Bundesliga,SK Sturm Graz
7034,Marco Hiller,67,GK,,27,Germany,3. Liga,1860 München
7035,Robin Himmelmann,67,GK,,35,Germany,Bundesliga 2,Karlsruher SC
7036,Jonathan Hogg,67,CDM,CM,35,England,EFL League One,Huddersfield
7037,Malthe Højholt,67,CDM,CM,23,Denmark,Serie BKT,Pisa
7038,Santiago Homenchenko,67,CM,"CDM, CB",21,Uruguay,LALIGA HYPERMOTION,CD Mirandés
7039,Hong Jeong Ho,67,CB,,35,Korea Republic,K League 1,Jeonbuk Hyundai
7040,Matthew Hoppe,67,ST,LW,23,United States,EFL Championship,Middlesbrough
7041,Andi Hoti,67,CB,,21,Kosovo,Bundesliga 2,1. FC Magdeburg
7042,Hou Sen,67,GK,,35,China PR,CSL,Beijing FC
7043,Jordan Houghton,67,CDM,CM,28,England,EFL Championship,Plymouth Argyle
7044,Lyes Houri,67,CAM,CM,28,France,SUPERLIGA,Univ. Craiova
7045,Florian Hübner,67,CB,,33,Germany,3. Liga,Wehen Wiesbaden
7046,Charlie Hughes,67,CB,,20,England,EFL Championship,Hull City
7047,Jordan Hugill,67,ST,,32,England,EFL League One,Rotherham Utd
7048,Deniz Hümmet,67,ST,LW,28,Turkey,Allsvenskan,Djurgårdens IF
7049,Joseph Hungbo,67,RM,RW,24,England,EFL League One,Rotherham Utd
7050,Bilal Hussein,67,CM,CAM,24,Sweden,Bundesliga 2,Hertha BSC
7051,Dominic Iankov,67,CAM,"CM, LM",24,Bulgaria,MLS,CF Montréal
7052,Hiroshi Ibusuki,67,ST,,33,Japan,A-League,Western United
7053,Michael Ihiekwe,67,CB,,31,England,EFL Championship,Sheffield Wed
7054,André Luiz,67,ST,"LW, RW",22,Brazil,Liga Portugal,Estrela Amadora
7055,Juan Infante,67,LB,,28,Argentina,Primera División,Atlético Tucumán
7056,Svante Ingelsson,67,CAM,LM,26,Sweden,EFL Championship,Sheffield Wed
7057,Matt Ingram,67,GK,,30,England,EFL Championship,Oxford United
7058,Zeidane Inoussa,67,LW,"RW, LM",22,Sweden,Allsvenskan,BK Häcken
7059,Dominic Iorfa,67,CB,RB,29,England,EFL Championship,Sheffield Wed
7060,Elián Irala,67,CDM,CM,20,Argentina,Libertadores,San Lorenzo
7061,Galego,67,LW,LM,27,Brazil,K League 1,Jeju United
7062,Dino Islamović,67,ST,,30,Montenegro,Allsvenskan,Kalmar FF
7063,Tatsuya Itō,67,LW,LM,27,Japan,Bundesliga 2,1. FC Magdeburg
7064,Aljaž Ivačič,67,GK,,30,Slovenia,MLS,New England
7065,Tim Jabol-Folcarelli,67,CM,,24,France,Ligue 2 BKT,AC Ajaccio
7066,Jamie Jacobs,67,CM,CAM,26,Holland,3F Superliga,Viborg FF
7067,Thore Jacobsen,67,CDM,CM,27,Germany,3. Liga,1860 München
7068,Miguel Jacquet,67,CB,,29,Paraguay,Libertadores,Libertad
7069,Alexander Jallow,67,RB,LB,26,Sweden,Serie BKT,Brescia
7070,Timotej Jambor,67,ST,,21,Slovakia,SUPERLIGA,FC Rapid 1923
7071,Isak Jansson,67,LM,"RM, ST, LW",22,Sweden,Ö. Bundesliga,SK Rapid
7072,Florian Jaritz,67,LM,"ST, LW",26,Austria,Ö. Bundesliga,Austria Klagenfurt
7073,Richard Jensen,67,CB,,28,Finland,3F Superliga,Vejle Boldklub
7074,Ulrik Yttergård Jenssen,67,CB,LB,28,Norway,Eliteserien,Rosenborg BK
7075,Ruben Yttergård Jenssen,67,CDM,CM,36,Norway,Eliteserien,Tromsø IL
7076,Jeong Tae Wook,67,CB,,27,Korea Republic,A-League,WS Wanderers
7077,Jeong Woon,67,CB,LB,35,Korea Republic,K League 1,Jeju United
7078,Alberto Jiménez,67,CB,CDM,31,Spain,LALIGA HYPERMOTION,CD Castellón
7079,Jo Jin Woo,67,CB,,24,Korea Republic,K League 1,Gimcheon Sangmu
